CookerStat, GenerateAssetRegistry=0.027016, Initialize=0.144497, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
SavePackageTransactionIdAC79C9754F7606D961DE1AAA452F82C1_0, Filename=../../../../../../Users/asus/Documents/Unreal Projects/Low_Poly_Tree/Content/Map/SC.umap, AutoPackageBackupDelegate=12.002971, FlushAsyncLoading=0.011723, FlushStreamingFunc=0.101171, BlockTillAllRequestsFinished=0.004843, ResetLoadersForSaveUnMarkAllObjects=3.242910, TagPackageExports=4.098173, BeginCacheForCookedPlatformData=0.003058, SerializeImports=5.872153, GatherLocalizableTextData=69.672997, MarkNames=1.060411, SerializeSummary=0.027779, SerializeNames=0.678651, SerializeGatherableTextData=0.014272, BuildExportMap=1.461029, SortExportsNonSeekfree=2.265833, SortExportsSeekfreeConstructor=0.084862, SortExportsSeekfreeInner=29.131655, SortExportsSeekfree=0.007134, BuildDependencyMap=0.282623, SerializeImportMap=0.105251, SerializeExportMap=0.083845, SerializeDependencyMap=0.021916, SerializeStringAssetReferenceMap=0.003058, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935042, SerializeExports=22.480183, SerializeBulkData=5.260270, MoveFile=3.764831, UnaccountedTime=1.679435, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdF23F1CEF49506D1D36AF0587B73EC97A_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_81470F814AA598AB7B280C888723D5F9, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.106014, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_2, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_662AEADBE35DB3CF2C52DD622D7127D8, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.090215, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_902BB602491B5182C92AEEB241CC5351, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.091746, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_2, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E38CE1C01AC2239D0D5CE120A95E88C3, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.102960, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_562A4ADC447674A1E2259EA8D149067E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.127677, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_2, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4E8721F840B9892FB441A080F7770746, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.125639, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdF23F1CEF49506D1D36AF0587B73EC97A_3, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B4286445451BBD28718620A9DDCB49A9, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.109330, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_813BD5A6AFD62A61A5DA16E97F15465E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.095822, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_3, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4F9D251F445E20577686F1A0E2E2B182, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.092000, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E4715459CA4BB8FAFCE8FEFFCCBB152E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.102445, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
